Number,Name,City,State,Country,Short Name,School,Sponsor,Grade,Checked In,Division
2901A,Mangere Makimaki,,,,,,,HIGH_SCHOOL,False,Division 1
2,Hungry Hippos,,,,,,,HIGH_SCHOOL,False,Division 1
3,Teremu,,,,,,,HIGH_SCHOOL,False,Division 1
4,Omoko,,,,,,,HIGH_SCHOOL,False,Division 1
5,Mega Matai,,,,,,,HIGH_SCHOOL,False,Division 1
6,King Kauri,,,,,,,HIGH_SCHOOL,False,Division 1
7,Robo Slayerz,,,,,,,HIGH_SCHOOL,False,Division 1
8,#Whanau,,,,,,,HIGH_SCHOOL,False,Division 1
9,Mangopare Maneanea,,,,,,,HIGH_SCHOOL,False,Division 1
10,Raiona Rangirua,,,,,,,HIGH_SCHOOL,False,Division 1
11,Kiwi Kino,,,,,,,HIGH_SCHOOL,False,Division 1
12,Tui Tere,,,,,,,HIGH_SCHOOL,False,Division 1
